time,host,latency,avg,min,max,jitter,loss,alerts
2026-04-23T12:26:22.846764,google.com,11.0,11.0,11.0,11.0,0,0.0,[]
2026-04-23T12:26:23.911066,google.com,13.0,12.0,11.0,13.0,2.0,0.0,[]
2026-04-23T12:26:24.982455,google.com,13.0,12.333333333333334,11.0,13.0,1.0,0.0,[]
2026-04-23T12:26:26.029809,google.com,9.0,11.5,9.0,13.0,2.0,0.0,[]
2026-04-23T12:26:27.088591,google.com,13.0,11.8,9.0,13.0,2.5,0.0,[]
2026-04-23T12:26:28.156929,google.com,10.0,11.5,9.0,13.0,2.6,0.0,[]
2026-04-23T12:26:29.220400,google.com,22.0,13.0,9.0,22.0,4.166666666666667,0.0,[]
2026-04-23T12:26:30.266336,google.com,9.0,12.5,9.0,22.0,5.428571428571429,0.0,[]
2026-04-23T12:26:31.342428,google.com,8.0,12.0,8.0,22.0,4.875,0.0,[]
2026-04-23T12:26:32.404604,google.com,13.0,12.1,8.0,22.0,4.888888888888889,0.0,[]
2026-04-23T12:26:33.457170,google.com,9.0,11.818181818181818,8.0,22.0,4.8,0.0,[]
2026-04-23T12:26:34.514740,google.com,15.0,12.083333333333334,8.0,22.0,4.909090909090909,0.0,[]
2026-04-23T12:26:35.562086,google.com,10.0,11.923076923076923,8.0,22.0,4.916666666666667,0.0,[]
2026-04-23T12:26:36.633384,google.com,13.0,12.0,8.0,22.0,4.769230769230769,0.0,[]
2026-04-23T12:26:37.700416,google.com,10.0,11.866666666666667,8.0,22.0,4.642857142857143,0.0,[]
2026-04-23T12:26:38.775828,google.com,11.0,11.8125,8.0,22.0,4.4,0.0,[]
2026-04-23T12:26:39.871564,google.com,14.0,11.941176470588236,8.0,22.0,4.3125,0.0,[]
2026-04-23T12:26:40.938861,google.com,12.0,11.944444444444445,8.0,22.0,4.176470588235294,0.0,[]
2026-04-23T12:26:41.996483,google.com,11.0,11.894736842105264,8.0,22.0,4.0,0.0,[]
2026-04-23T12:26:43.067861,google.com,13.0,11.95,8.0,22.0,3.8947368421052633,0.0,[]
2026-04-23T12:26:44.128975,google.com,9.0,11.80952380952381,8.0,22.0,3.9,0.0,[]
2026-04-23T12:26:45.204786,google.com,13.0,11.863636363636363,8.0,22.0,3.9047619047619047,0.0,[]
2026-04-23T12:26:46.262961,google.com,10.0,11.782608695652174,8.0,22.0,3.8636363636363638,0.0,[]
2026-04-23T12:26:47.320875,google.com,12.0,11.791666666666666,8.0,22.0,3.782608695652174,0.0,[]
2026-04-23T12:26:48.374842,google.com,11.0,11.76,8.0,22.0,3.6666666666666665,0.0,[]
2026-04-23T12:26:49.429828,google.com,9.0,11.653846153846153,8.0,22.0,3.6,0.0,[]
2026-04-23T12:26:50.485585,google.com,9.0,11.555555555555555,8.0,22.0,3.4615384615384617,0.0,[]
2026-04-23T12:26:51.534704,google.com,10.0,11.5,8.0,22.0,3.3703703703703702,0.0,[]
2026-04-23T12:26:52.594823,google.com,13.0,11.551724137931034,8.0,22.0,3.357142857142857,0.0,[]
2026-04-23T12:26:53.662784,google.com,13.0,11.6,8.0,22.0,3.2413793103448274,0.0,[]
2026-04-23T12:26:54.719632,google.com,10.0,11.548387096774194,8.0,22.0,3.2333333333333334,0.0,[]
2026-04-23T12:26:55.788787,google.com,10.0,11.5,8.0,22.0,3.129032258064516,0.0,[]
2026-04-23T12:26:56.871386,google.com,11.0,11.484848484848484,8.0,22.0,3.0625,0.0,[]
2026-04-23T12:26:57.940396,google.com,13.0,11.529411764705882,8.0,22.0,3.0303030303030303,0.0,[]
2026-04-23T12:26:59.024014,google.com,13.0,11.571428571428571,8.0,22.0,2.9411764705882355,0.0,[]
2026-04-23T12:27:00.078605,google.com,10.0,11.527777777777779,8.0,22.0,2.942857142857143,0.0,[]
2026-04-23T12:27:01.135555,google.com,13.0,11.567567567567568,8.0,22.0,2.9444444444444446,0.0,[]
2026-04-23T12:27:02.200642,google.com,9.0,11.5,8.0,22.0,2.972972972972973,0.0,[]
2026-04-23T12:27:03.255611,google.com,9.0,11.435897435897436,8.0,22.0,2.8947368421052633,0.0,[]
