Timestamp,Host,IP,Status,Avg Latency (ms),Min (ms),Max (ms),Jitter (ms),Packet Loss %,Uptime %,Quality
2026-04-24 09:13:58,Cloudflare DNS,1.1.1.1,ONLINE,64.7,45.0,98.0,50.0,0.0,100.0,GOOD
2026-04-24 09:13:58,OpenDNS,208.67.222.222,ONLINE,64.3,44.0,93.0,43.0,0.0,100.0,GOOD
2026-04-24 09:13:58,Local Router,192.168.1.1,OFFLINE,28.1,28.1,28.1,0,66.7,33.3,OFFLINE
2026-04-24 09:13:58,Google,142.250.151.102,ONLINE,62.3,38.0,92.0,44.5,0.0,100.0,GOOD
2026-04-24 09:13:58,Cloudflare,104.16.132.229,ONLINE,60.0,30.0,94.0,51.0,0.0,100.0,GOOD
2026-04-24 09:14:04,Google DNS,8.8.8.8,ONLINE,52.2,12.0,97.0,41.7,0.0,100.0,GOOD
2026-04-24 09:14:04,Cloudflare DNS,1.1.1.1,ONLINE,51.5,12.0,98.0,44.3,0.0,100.0,GOOD
2026-04-24 09:14:04,OpenDNS,208.67.222.222,ONLINE,52.0,15.0,93.0,38.3,0.0,100.0,GOOD
2026-04-24 09:14:04,Local Router,192.168.1.1,OFFLINE,28.1,28.1,28.1,0,75.0,25.0,OFFLINE
2026-04-24 09:14:04,Google,142.250.151.102,ONLINE,50.8,16.0,92.0,37.0,0.0,100.0,GOOD
2026-04-24 09:14:04,Cloudflare,104.16.132.229,ONLINE,51.2,25.0,94.0,35.7,0.0,100.0,GOOD
